timestamp,openlst_header,callsign,ccsds_version,ccsds_packet_type,ccsds_secondary_header_flag,ccsds_apid,ccsds_sequence_flags,ccsds_sequence_count,ccsds_packet_length,payload_filter_bank_power_ch2,payload_filter_bank_power_ch4,payload_filter_bank_power_ch5,payload_filter_bank_power_ch6,payload_filter_bank_power_ch7,payload_filter_bank_power_ch8,payload_sdr_power,payload_sdr_bright_1,payload_sdr_bright_2,payload_sdr_bright_3,payload_sdr_bright_4,payload_sdr_bright_5,payload_sdr_bright_6,payload_sdr_bright_7,payload_sdr_bright_8,payload_sdr_bright_9,payload_sdr_bright_10,observation_time,altitude,lat,long
1728449516,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,2484,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 21:51,415.69409308591463,36.53770269964548,-89.57729034
1728449548,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,2486,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 21:52,415.5837636180633,35.19929978856874,-87.76112438
1728449581,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,2488,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 21:53,415.4766558143545,33.787078005446695,-85.95477713
1728449680,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,2494,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 21:54,415.21463328828156,29.38099560674316,-80.8996859
1728509508,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,1669,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/9/2024 14:31,412.98113890914925,36.55924787686362,-92.28120378
1728509538,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,1671,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/9/2024 14:32,413.1675155476533,37.784279979496446,-90.51489278
1728509658,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,1679,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/9/2024 14:34,413.94520011741344,42.343655399683904,-82.79378986
1728509779,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,1687,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/9/2024 14:36,414.7123147815759,46.25392180456954,-73.81925648
1728509809,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,1689,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/9/2024 14:36,414.8899345,47.09320239706578,-71.3972279
1728509839,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,1691,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/9/2024 14:37,415.0602144438633,47.87404051001617,-68.89689728
1728515355,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,2057,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/9/2024 16:09,414.68824943676174,46.489666391421444,-96.7453609
1728515385,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,2059,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/9/2024 16:09,414.8633495229778,47.313272677915194,-94.30172364
1728515626,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,2075,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/9/2024 16:13,415.91697242696273,51.50310590015808,-72.15133896
1728521263,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,2449,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/9/2024 17:47,415.9924302900244,51.78825085758029,-88.82165048
1728521294,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,2451,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/9/2024 17:48,416.0377802722358,51.772383898851714,-85.71615054
1728526329,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,2505,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/9/2024 19:12,413.52482649075364,41.18485059025295,-155.7101787
1728526360,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,2507,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/9/2024 19:12,413.7259168551358,42.306724832589026,-153.6115788
1728526390,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,2509,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/9/2024 19:13,413.9194497988454,43.34963041038971,-151.5056914
1728526420,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,2511,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/9/2024 19:13,414.1105593412619,44.347410842442756,-149.3239055
1728526480,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,2515,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/9/2024 19:14,414.4803447193079,46.194929669667566,-144.7266808
1728526628,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,969,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/9/2024 19:17,415.2696125,49.75779404078422,-132.0625601
1728526990,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,2829,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/9/2024 19:23,415.98585198450957,50.773348540904855,-96.65897423
1728527111,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,2837,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/9/2024 19:25,415.8000010423787,48.54909757209447,-85.57713305
1728527111,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,2837,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/9/2024 19:25,415.8000010423787,48.54909757209447,-85.57713305
1728527141,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,2839,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/9/2024 19:25,415.72630750404267,47.82619577915696,-83.00543573
